Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
3100,125,125,125
3105,125,125,125
3110,115,115,114
3115,89.2,89.2,87.4
3120,47.5,47.5,45.9
3125,15.5,15.5,14.9
3130,0,0,0.392
3135,0,0,0
3140,0,0,0
3145,0,0,0
3150,0,0,0
3155,0,0,0
3160,0,0,0
3165,0,0,0
3170,0,0,0
3175,0,0,0
3180,14.9,14.9,16.4
3185,56.5,56.5,58.0
3190,121,121,125
3195,190,190,193
3200,263,263,266
3205,323,323,325
3210,350,350,349
3215,325,325,326
3220,302,302,300
3225,275,275,274
3230,237,237,233
3235,177,177,175
3240,135,135,135
3245,119,119,116
3250,76.9,76.9,75.6
3255,35.3,35.3,33.7
3260,0,0,1.31
3265,0,0,0
3270,0,0,0
3275,0,0,0
3280,0,0,0
3285,2.20,2.20,5.83
3290,59.1,59.1,62.2
3295,138,137,141
3300,214,214,213
3305,235,235,235
3310,235,235,235
3315,236,236,236
3320,250,250,251
3325,278,278,279
3330,327,327,329
3335,375,374,375
3340,405,405,406
3345,418,418,418
3350,418,418,419
3355,419,419,420
3360,419,419,420
3365,422,422,422
3370,426,426,425
3375,430,430,430
3380,436,436,436
3385,440,440,440
3390,443,442,442
3395,442,442,442
3400,443,443,443
3405,442,443,442
3410,443,443,443
3415,463,463,450
3420,483,482,459
3425,490,488,461
3430,453,454,454
3435,433,434,442
3440,422,424,434
3445,449,447,433
3450,447,447,437
3455,465,463,426
3460,501,482,408
3465,507,507,401
3470,465,466,414
3475,326,347,413
3480,316,270,371
3485,373,373,359
3490,539,493,368
3495,552,597,408
3500,507,508,413
3505,347,393,425
3510,276,277,431
3515,199,191,391
3520,357,354,366
3525,475,475,365
3530,589,593,411
3535,509,501,425
3540,410,408,424
3545,330,334,433
3550,197,208,395
3555,286,282,373
3560,382,375,357
3565,560,560,393
3570,540,546,401
3575,495,496,401
3580,388,388,410
3585,315,315,432
3590,189,195,395
3595,226,224,371
3600,272,272,368
3605,402,402,414
3610,432,433,434
3615,430,430,430
3620,408,408,407
3625,368,368,366
3630,263,264,259
3635,140,140,136
3640,36.2,36.3,33.5
3645,0,0,0.0583
3650,0,0,0
3655,0,0,0
3660,0,0,0
3665,0,0,0
3670,0,0,0
3675,0,0,0
3680,9.33,9.27,20.7
3685,148,148,151
3690,289,289,289
3695,371,370,363
3700,335,335,330
3705,211,211,211
3710,120,120,116
3715,62.1,62.3,67.7
3720,145,145,145
3725,167,167,167
3730,121,121,117
3735,21.5,21.6,21.7
3740,0,0,0
3745,0,0,0
3750,0,0,0
3755,0,0,0
3760,0,0,0
3765,0,0,0
3770,0,0,0
3775,0.933,0,0
3780,2.60,0,0
3785,4.33,0,0
3790,5.13,0,0
3795,5.87,0.133,0
3800,7.53,0.133,0
3805,9.40,0.200,0
3810,10.6,0.0667,0
3815,10.9,0.0667,0
3820,11.1,0,0
3825,11.3,0,0
3830,11.5,0,0
3835,11.6,0,0
3840,11.9,0,0
3845,12.1,0,0
3850,12.5,0,0
3855,12.7,0,0
3860,12.9,0,0
3865,13.1,0,0
3870,13.6,0,0
3875,13.8,0,0
3880,14.3,0,0
3885,14.3,0,0
3890,14.9,0,0
3895,15.1,0,0
3900,15.7,0,0
3905,16,0,0
3910,16.5,0,0
3915,16.9,0,0
3920,17.4,0,0
3925,17.9,0,0
3930,18.5,0,0
3935,19.1,0,0
3940,19.7,0,0
3945,20.3,0,0
3950,21.1,0,0
3955,21.9,0,0
3960,22.6,0,0
3965,23.5,0,0
3970,24.5,0,0
3975,25.7,0,0
3980,26.7,0,0
3985,27.9,0,0
3990,29.3,0,0
3995,30.8,0,0
4000,32.5,0,0
4005,34.3,0,0
4010,36.3,0,0
4015,38.9,0,0
4020,41.6,0,0
4025,44.9,0,0
4030,48.5,0,0
4035,52.8,0,0
4040,58.1,0,0
4045,64.6,0,0
4050,73.1,0,0
4055,83.9,0,0
4060,99.3,0,0
4065,93.6,0,0
4070,82.7,0,0
4075,66.3,0,0
4080,69.6,0,0
4085,82.2,0,0
4090,100,0,0
4095,95.4,0,0
4100,61.4,0,0
4105,20.4,0,0
4110,0,0,0
4115,0,0,0
4120,0,0,0
4125,0,0,0
4130,0,0,0
4135,0,0,0
