"Time","node_exporter CPU Usage","fabric-orderer CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage"
2026-04-20 04:54:25,0.467,0.0667,865,0.800,,,,,,,,,,,,,,
2026-04-20 04:54:30,0.467,0.0667,855,0.800,,,,,,,,,,,,,,
2026-04-20 04:54:35,0.467,0.0667,838,0.800,,,,,,,,,,,,,,
2026-04-20 04:54:40,0.533,0,824,0.800,,,,,,,,,,,,,,
2026-04-20 04:54:45,0.467,0.0667,804,0.800,,,,,,,,,,,,,,
2026-04-20 04:54:50,0.600,0.133,800,0.800,,,,,,,,,,,,,,
2026-04-20 04:54:55,0.467,0.133,805,0.733,,,,,,,,,,,,,,
2026-04-20 04:55:00,0.600,0.0667,827,0.733,,,,,,,,,,,,,,
2026-04-20 04:55:05,0.533,0.0667,839,0.733,,,,,,,,,,,,,,
2026-04-20 04:55:10,0.533,0.0667,840,0.800,,,,,,,,,,,,,,
2026-04-20 04:55:15,0.467,0.0667,845,0.800,,,,,,,,,,,,,,
2026-04-20 04:55:20,0.400,0.0667,695,0.733,,,,,,,,,,,,,,
2026-04-20 04:55:25,0.400,0.0667,415,0.667,,,,,,,,,,,,,,
2026-04-20 04:55:30,0.333,0.133,131,0.667,,,,,,,,,,,,,,
2026-04-20 04:55:35,0.333,0.100,0.733,0.733,,,,,,,,,,,,,,
2026-04-20 04:55:40,0.333,0.122,0.524,0.551,,,,,,,,,,,,,,
2026-04-20 04:55:45,0.400,,0.399,0.351,,,,,,,,,,,,,,
2026-04-20 04:55:50,0.333,,0.467,0.467,,,,,,,,,,,,,,
2026-04-20 04:55:55,0.333,0.392,0.702,0.786,,,,,,,0.710,0.735,,,,,,
2026-04-20 04:56:00,0.267,0.450,0.977,0.892,,,,,,,1.04,0.930,,,,,,
2026-04-20 04:56:05,0.333,0.533,1.27,1.20,,,,,,,1.27,1.20,,,,,,
2026-04-20 04:56:10,0.333,0.200,1.07,0.933,,,,,,,1,1.07,,,,,,
2026-04-20 04:56:15,0.400,0.0667,0.933,1.00,,,,,,,0.800,1.00,,,,,,
2026-04-20 04:56:20,0.333,0.0667,0.867,0.800,,,,,,,0.867,0.867,,,,,,
2026-04-20 04:56:25,0.333,0.0667,1.00,0.867,,,,,,,0.800,0.800,,,,,,
2026-04-20 04:56:30,0.267,0.467,1.40,0.800,,,,,,,1.07,0.933,,,,,,
2026-04-20 04:56:35,0.400,1.20,2.67,1.20,,,,,,,1.47,1.27,,,,,,
2026-04-20 04:56:40,0.333,2.73,6.33,2.07,,,,,,,2.80,2.27,,,,,,
2026-04-20 04:56:45,0.333,3.73,10.00,3.27,,,,,,,3.73,3.47,,,,,,
2026-04-20 04:56:50,0.267,4.40,12.8,4.07,,,,,,,4.47,4.27,,,,,,
2026-04-20 04:56:55,0.400,4.40,13,4.53,,,,,,,4.47,4.47,,,,,,
2026-04-20 04:57:00,0.400,4.13,12.7,4.53,,,,,,,4.33,4.33,,,,,,
2026-04-20 04:57:05,0.333,3.47,11.5,4.27,,,,,,,3.87,4.13,,,,,,
2026-04-20 04:57:10,0.200,2.07,8.20,3.27,,,,,,,2.73,3.20,,,,,,
2026-04-20 04:57:15,0.267,0.933,4.40,2.20,,,,,,,1.73,2.00,,,,,,
2026-04-20 04:57:20,0.267,0.200,1.47,1.27,,,,,,,1.07,1.07,,,,,,
2026-04-20 04:57:25,0.333,0.200,1.07,1.00,,,,,,,0.933,0.867,,,,,,
2026-04-20 04:57:30,0.333,0.933,1.53,0.867,,,,,,,1.33,0.933,,,,,,
2026-04-20 04:57:35,0.333,4.60,8.20,2.40,,,,,,,4.00,2.87,,,,,,
2026-04-20 04:57:40,0.333,10.1,22.6,7.00,,,,,,,9.73,7.73,,,,,,
2026-04-20 04:57:45,0.333,14.7,37.5,12.6,,,,,,,14.9,13.3,,,,,,
2026-04-20 04:57:50,0.333,16.7,46.3,16.7,,,,,,,17.9,17,,,,,,
2026-04-20 04:57:55,0.333,16.7,47.4,17.8,,,,,,,18,17.7,,,,,,
2026-04-20 04:58:00,0.267,16,47.7,18,,,,,,,17.9,17.8,,,,,,
2026-04-20 04:58:05,0.267,12.4,42.2,16.6,,,,,,,15.3,16.1,,,,,,
2026-04-20 04:58:10,0.267,6.87,27.8,12.0,,,,,,,9.53,11.1,,,,,,
2026-04-20 04:58:15,0.333,2.20,12.3,6.27,,,,,,,4.13,5.53,,,,,,
2026-04-20 04:58:20,0.333,0.133,2.33,2.07,,,,,,,1.00,1.60,,,,,,
2026-04-20 04:58:25,0.267,0.0667,1.000,0.933,,,,,,,0.933,0.933,,,,,,
2026-04-20 04:58:30,0.200,3.60,4.40,1.27,,,,,,,2.73,1.73,,,,,,
2026-04-20 04:58:35,0.267,13.4,25.5,7.47,,,,,,,12.9,9.07,,,,,,
2026-04-20 04:58:40,0.333,23.9,54.5,18.8,,,,,,,24.3,20.3,,,,,,
2026-04-20 04:58:45,0.400,30.9,80.2,29.8,,,,,,,34.1,31.1,,,,,,
2026-04-20 04:58:50,0.333,31.7,88.2,35.3,,,,,,,35.3,35.3,,,,,,
2026-04-20 04:58:55,0.333,31.6,88.5,35.5,,,,,,,35.5,35.4,,,,,,
2026-04-20 04:59:00,0.267,28.1,85.9,35.1,,,,,,,33.6,34.5,,,,,,
2026-04-20 04:59:05,0.333,18.7,66.3,28.9,,,,,,,23.8,27.3,,,,,,
2026-04-20 04:59:10,0.267,8.27,36.9,17.6,,,,,,,12.3,16.1,,,,,,
2026-04-20 04:59:15,0.333,1.20,10.5,6.67,,,,,,,2.53,5.40,,,,,,
2026-04-20 04:59:20,0.267,0.133,1.07,1.13,,,,,,,1.000,1.000,,,,,,
2026-04-20 04:59:25,0.267,0.467,1.07,0.867,,,,,,,0.933,0.867,,,,,,
2026-04-20 04:59:30,0.267,4.67,7.53,2.27,,,,,,,4.60,2.80,,,,,,
2026-04-20 04:59:35,0.267,13.2,26.5,8.33,,,,,,,12.9,9.80,,,,,,
2026-04-20 04:59:40,0.400,23.0,54.3,18.7,,,,,,,24.0,20.6,,,,,,
2026-04-20 04:59:45,0.333,29.0,76.4,28.4,,,,,,,31.9,29.9,,,,,,
2026-04-20 04:59:50,0.467,30.8,85.7,34.0,,,,,,,34.9,34.3,,,,,,
2026-04-20 04:59:55,0.333,30.9,86.4,34.9,,,,,,,35.1,34.9,,,,,,
2026-04-20 05:00:00,0.400,30.9,85.7,34.9,,,,,,,34.9,34.7,,,,,,
2026-04-20 05:00:05,0.267,30.7,85.4,34.7,,,,,,,34.7,34.7,,,,,,
2026-04-20 05:00:10,0.333,31.1,85.3,34.6,,,,,,,34.7,34.7,,,,,,
2026-04-20 05:00:15,0.333,32.0,87.1,35.1,,,,,,,35.7,35.3,,,,,,
2026-04-20 05:00:20,0.333,33.5,91.1,36.5,,,,,,,37.4,36.8,,,,,,
2026-04-20 05:00:25,0.333,34.7,95.5,38.3,,,,,,,39.3,38.5,,,,,,
2026-04-20 05:00:30,0.333,35.1,98.3,39.9,,,,,,,40.4,40,,,,,,
2026-04-20 05:00:35,0.333,35.2,98.7,40.5,,,,,,,40.5,40.4,,,,,,
2026-04-20 05:00:40,0.333,35,98.5,40.4,,,,,,,40.1,40.3,,,,,,
2026-04-20 05:00:45,0.333,35.1,98.6,40.1,,,,,,,40,40.4,,,,,,
2026-04-20 05:00:50,0.333,35.2,98.5,40.1,,,,,,,40.5,40.1,,,,,,
2026-04-20 05:00:55,0.333,36.6,101,40.7,,,,,,,42.1,41.0,,,,,,
2026-04-20 05:01:00,0.333,39.0,107,43.5,,,,,,,44.3,43.3,,,,,,
2026-04-20 05:01:05,0.400,41.2,113,45.3,,,,,,,46.3,45.9,,,,,,
2026-04-20 05:01:10,0.400,42.2,117,47.3,,,,,,,48.1,47.4,,,,,,
2026-04-20 05:01:15,0.400,42.1,118,47.8,,,,,,,48.2,48.0,,,,,,
2026-04-20 05:01:20,0.333,42.1,118,48.0,,,,,,,48.3,47.9,,,,,,
2026-04-20 05:01:25,0.400,42.3,119,48.8,,,,,,,48.3,48.8,,,,,,
2026-04-20 05:01:30,0.333,42.9,119,48.2,,,,,,,48.2,48.1,,,,,,
2026-04-20 05:01:35,0.400,48.7,127,50.2,,,,,,,53.7,51.4,,,,,,
2026-04-20 05:01:40,0.333,58.5,146,57.1,,,,,,,62.0,58.3,,,,,,
2026-04-20 05:01:45,0.400,69.5,174,68.6,,,,,,,74.6,70.4,,,,,,
2026-04-20 05:01:50,0.467,75.1,194,79.3,,,,,,,82.5,79.9,,,,,,
2026-04-20 05:01:55,0.467,76.9,203,83.9,,,,,,,84.7,84.6,,,,,,
2026-04-20 05:02:00,0.533,77.2,203,84.0,,,,,,,84.8,85,,,,,,
2026-04-20 05:02:05,0.533,77.4,202,83.8,,,,,,,83.2,83.9,,,,,,
2026-04-20 05:02:10,0.533,77.8,203,84.3,,,,,,,84.5,84.4,,,,,,
2026-04-20 05:02:15,0.467,78.0,203,84.5,,,,,,,84.9,83.7,,,,,,
2026-04-20 05:02:20,0.467,78.5,206,85,,,,,,,86.5,85.3,,,,,,
2026-04-20 05:02:25,0.533,78.1,206,86.6,,,,,,,87.2,86.7,,,,,,
2026-04-20 05:02:30,0.600,77.9,207,87.0,,,,,,,87.6,87.2,,,,,,
2026-04-20 05:02:35,0.533,77.7,207,87.5,,,,,,,86.5,87.4,,,,,,
2026-04-20 05:02:40,0.467,77.8,206,86.5,,,,,,,86.7,86.6,,,,,,
2026-04-20 05:02:45,0.533,77.7,206,86.8,,,,,,,86.2,86.7,,,,,,
2026-04-20 05:02:50,0.533,77.6,207,87.2,,,,,,,87.4,87.3,,,,,,
2026-04-20 05:02:55,0.533,77.4,208,86.7,,,,,,,88.1,87.9,,,,,,
2026-04-20 05:03:00,0.400,77.3,209,88.2,,,,,,,87.7,88.2,,,,,,
2026-04-20 05:03:05,0.400,77.2,209,88.4,,,,,,,88.5,88.5,,,,,,
2026-04-20 05:03:10,0.467,77.1,209,88.3,,,,,,,88.7,87.1,,,,,,
2026-04-20 05:03:15,0.467,77.6,209,88.5,,,,,,,89.0,88.8,,,,,,
2026-04-20 05:03:20,0.533,77.4,210,88.7,,,,,,,89.2,88.9,,,,,,
2026-04-20 05:03:25,0.467,77.5,209,89.1,,,,,,,89.5,89.3,,,,,,
2026-04-20 05:03:30,0.533,77.3,212,89.5,,,,,,,91.1,89.5,,,,,,
2026-04-20 05:03:35,0.467,76.9,212,91.5,,,,,,,92.1,91.2,,,,,,
2026-04-20 05:03:40,0.533,76.9,211,92.3,,,,,,,89.8,91.9,,,,,,
2026-04-20 05:03:45,0.533,77.1,208,91.3,,,,,,,89.1,90.5,,,,,,
2026-04-20 05:03:50,0.533,77.5,207,87.2,,,,,,,87.8,88.5,,,,,,
2026-04-20 05:03:55,0.533,77.6,207,87.5,,,,,,,87.8,87.4,,,,,,
2026-04-20 05:04:00,0.467,77.4,207,87.7,,,,,,,88.1,87.9,,,,,,
2026-04-20 05:04:05,0.533,77.3,206,87.6,,,,,,,88.1,86.1,,,,,,
2026-04-20 05:04:10,0.467,77.5,207,87.6,,,,,,,88.1,87.6,,,,,,
2026-04-20 05:04:15,0.467,77.3,207,87.9,,,,,,,88.0,87.8,,,,,,
2026-04-20 05:04:20,0.400,77.3,207,88.5,,,,,,,88.2,88.1,,,,,,
2026-04-20 05:04:25,0.467,76.6,208,88.9,,,,,,,88.7,88.6,,,,,,
2026-04-20 05:04:30,0.533,68.9,198,84.8,,,,,,,82.2,85.4,,,,,,
2026-04-20 05:04:35,0.533,50.3,164,75,,,,,,,64.0,72.3,,,,,,
2026-04-20 05:04:40,0.400,25.1,98.3,48.9,,,,,,,35.7,44.7,,,,,,
2026-04-20 05:04:45,0.400,7.13,38.7,23.4,,,,,,,12.7,18.3,,,,,,
2026-04-20 05:04:50,0.267,0.267,4.40,4.93,,,,,,,0.933,3.53,,,,,,
2026-04-20 05:04:55,0.333,21.4,33.1,9.20,,,,,,,19.5,12.2,,,,,,
2026-04-20 05:05:00,0.333,45.9,99.5,36.0,,,,,,,51.1,40,,,,,,
2026-04-20 05:05:05,0.467,50.6,140,59.7,,,,,,,61.7,61.3,,,,,,
2026-04-20 05:05:10,0.467,29.3,108,53.5,,,,,,,43.1,50.4,,,,,,
2026-04-20 05:05:15,0.400,4.87,41.9,26.6,,,,,,,11.5,22.6,,,,,,
2026-04-20 05:05:20,0.333,0.0667,1.000,2.93,,,,,,,1.000,1.13,,,,,,
2026-04-20 05:05:25,0.333,0.133,99.3,0.867,,,,,,,0.867,0.933,,,,,,
2026-04-20 05:05:30,0.333,0.133,337,0.867,,,,,,,0.800,0.800,,,,,,
2026-04-20 05:05:35,0.400,0.133,624,0.867,,,,,,,0.733,0.867,,,,,,
2026-04-20 05:05:40,0.400,0.0667,831,0.867,,,,,,,0.867,0.800,,,,,,
