Time,HostCPU,OrdererCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU,PeersCPU
1175,0.333,35.2,98.5,40.1,,,,,,,40.5,40.1,,,,,,
1180,0.333,36.6,101,40.7,,,,,,,42.1,41.0,,,,,,
1185,0.333,39.0,107,43.5,,,,,,,44.3,43.3,,,,,,
1190,0.400,41.2,113,45.3,,,,,,,46.3,45.9,,,,,,
1195,0.400,42.2,117,47.3,,,,,,,48.1,47.4,,,,,,
1200,0.400,42.1,118,47.8,,,,,,,48.2,48.0,,,,,,
1205,0.333,42.1,118,48.0,,,,,,,48.3,47.9,,,,,,
1210,0.400,42.3,119,48.8,,,,,,,48.3,48.8,,,,,,
1215,0.333,42.9,119,48.2,,,,,,,48.2,48.1,,,,,,
1220,0.400,48.7,127,50.2,,,,,,,53.7,51.4,,,,,,
1225,0.333,58.5,146,57.1,,,,,,,62.0,58.3,,,,,,
1230,0.400,69.5,174,68.6,,,,,,,74.6,70.4,,,,,,
1235,0.467,75.1,194,79.3,,,,,,,82.5,79.9,,,,,,
1240,0.467,76.9,203,83.9,,,,,,,84.7,84.6,,,,,,
1245,0.533,77.2,203,84.0,,,,,,,84.8,85,,,,,,
1250,0.533,77.4,202,83.8,,,,,,,83.2,83.9,,,,,,
1255,0.533,77.8,203,84.3,,,,,,,84.5,84.4,,,,,,
1260,0.467,78.0,203,84.5,,,,,,,84.9,83.7,,,,,,
1265,0.467,78.5,206,85,,,,,,,86.5,85.3,,,,,,
1270,0.533,78.1,206,86.6,,,,,,,87.2,86.7,,,,,,
1275,0.600,77.9,207,87.0,,,,,,,87.6,87.2,,,,,,
1280,0.533,77.7,207,87.5,,,,,,,86.5,87.4,,,,,,
1285,0.467,77.8,206,86.5,,,,,,,86.7,86.6,,,,,,
1290,0.533,77.7,206,86.8,,,,,,,86.2,86.7,,,,,,
1295,0.533,77.6,207,87.2,,,,,,,87.4,87.3,,,,,,
