"Time","node_exporter CPU Usage","fabric-orderer CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage"
2026-04-20 10:18:20,0.600,0.133,843,0.867,,,,,,,,,,,,,,
2026-04-20 10:18:25,0.600,0.133,860,0.867,,,,,,,,,,,,,,
2026-04-20 10:18:30,0.533,0.0667,861,0.733,,,,,,,,,,,,,,
2026-04-20 10:18:35,0.533,0.0667,857,0.800,,,,,,,,,,,,,,
2026-04-20 10:18:40,0.467,0,637,0.733,,,,,,,,,,,,,,
2026-04-20 10:18:45,0.467,0.0667,355,0.733,,,,,,,,,,,,,,
2026-04-20 10:18:50,0.467,0.0667,72.7,0.667,,,,,,,,,,,,,,
2026-04-20 10:18:55,0.400,0.1000,0.800,0.667,,,,,,,,,,,,,,
2026-04-20 10:19:00,0.333,0,0.500,0.467,,,,,,,,,,,,,,
2026-04-20 10:19:05,0.333,0.200,0.372,0.317,,,,,,,,,,,,,,
2026-04-20 10:19:10,0.333,0.384,0.533,0.600,,,,,,,,0.551,,,,,,
2026-04-20 10:19:15,0.400,0.380,0.856,0.660,,,,,,,0.685,0.773,,,,,,
2026-04-20 10:19:20,0.333,0.533,1.02,1.01,,,,,,,1.04,1.27,,,,,,
2026-04-20 10:19:25,0.333,0.200,1.40,1.20,,,,,,,1.20,1.07,,,,,,
2026-04-20 10:19:30,0.267,0.133,1.07,1.07,,,,,,,1,1.00,,,,,,
2026-04-20 10:19:35,0.333,0.0667,1,0.800,,,,,,,0.800,0.800,,,,,,
2026-04-20 10:19:40,0.333,0.400,0.867,0.800,,,,,,,0.800,1.13,,,,,,
2026-04-20 10:19:45,0.333,1.53,2.87,1.47,,,,,,,1.53,1.93,,,,,,
2026-04-20 10:19:50,0.267,2.93,6.53,2.73,,,,,,,2.67,3.20,,,,,,
2026-04-20 10:19:55,0.333,4.04,10.5,3.87,,,,,,,3.87,4.00,,,,,,
2026-04-20 10:20:00,0.333,4.60,12.6,4.47,,,,,,,4.40,4.47,,,,,,
2026-04-20 10:20:05,0.333,4.47,13,4.47,,,,,,,4.53,4.40,,,,,,
2026-04-20 10:20:10,0.333,4.33,12.9,4.53,,,,,,,4.60,4.47,,,,,,
2026-04-20 10:20:15,0.267,3.27,11.5,3.73,,,,,,,3.93,3.60,,,,,,
2026-04-20 10:20:20,0.267,1.80,8.07,2.73,,,,,,,2.80,2.47,,,,,,
2026-04-20 10:20:25,0.267,0.533,4.07,1.47,,,,,,,1.53,1.20,,,,,,
2026-04-20 10:20:30,0.400,0.0667,1.53,1.000,,,,,,,1.000,0.867,,,,,,
2026-04-20 10:20:35,0.333,0.200,1.00,0.867,,,,,,,0.867,0.867,,,,,,
2026-04-20 10:20:40,0.333,1.67,1.53,1.47,,,,,,,1.33,2.13,,,,,,
2026-04-20 10:20:45,0.333,6.67,9.93,5.20,,,,,,,4.87,7.00,,,,,,
2026-04-20 10:20:50,0.333,12.2,24.7,10.9,,,,,,,10.5,12.6,,,,,,
2026-04-20 10:20:55,0.267,16.3,39.5,15.9,,,,,,,15.6,16.9,,,,,,
2026-04-20 10:21:00,0.200,17.1,46.5,17.9,,,,,,,17.8,17.9,,,,,,
2026-04-20 10:21:05,0.267,18.0,47.7,18.1,,,,,,,17.9,18.3,,,,,,
2026-04-20 10:21:10,0.267,17.7,49.5,18.1,,,,,,,18.3,17.7,,,,,,
2026-04-20 10:21:15,0.333,12.8,43.1,14.5,,,,,,,14.9,12.7,,,,,,
2026-04-20 10:21:20,0.400,6.27,27.7,8.67,,,,,,,9.27,6.67,,,,,,
2026-04-20 10:21:25,0.400,1.000,10.7,3.13,,,,,,,3.33,1.73,,,,,,
2026-04-20 10:21:30,0.400,0.0667,1.60,1.07,,,,,,,0.933,0.933,,,,,,
2026-04-20 10:21:35,0.333,2.07,1.27,1.73,,,,,,,1.47,2.60,,,,,,
2026-04-20 10:21:40,0.333,7.53,12.5,6.73,,,,,,,6.33,8.47,,,,,,
2026-04-20 10:21:45,0.333,17.5,31.7,15.3,,,,,,,14.7,18.8,,,,,,
2026-04-20 10:21:50,0.333,26.7,61.1,26.1,,,,,,,25.8,28.8,,,,,,
