Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
4566,513,513,518
4571,534,534,538
4576,542,542,543
4581,544,544,544
4586,544,544,544
4591,544,543,544
4596,544,544,544
4601,553,553,557
4606,573,573,579
4611,597,598,604
4616,614,614,616
4621,620,620,620
4626,620,620,620
4631,620,619,620
4636,619,619,619
4641,632,633,655
4646,728,728,756
4651,844,844,873
4656,947,947,954
4661,973,973,974
4666,974,975,975
4671,979,979,979
4676,978,979,979
4681,980,979,981
4686,979,980,980
4691,978,978,979
4696,977,977,975
4701,975,975,975
4706,974,974,974
4711,975,975,974
4716,975,975,975
4721,974,974,974
4726,973,973,972
4731,970,970,969
4736,968,967,968
4741,970,970,971
4746,970,970,972
4751,974,975,975
4756,972,972,972
4761,971,971,970
4766,974,974,972
4771,977,977,978
4776,981,981,982
4781,984,984,984
4786,980,980,980
4791,977,977,977
4796,976,976,977
4801,978,978,978
4806,979,979,979
4811,981,980,981
4816,949,950,909
4821,787,787,712
4826,465,465,385
4831,170,170,131
4836,8.33,8.33,2.32
4841,0,0,0.100
4846,108,108,166
4851,383,383,452
4856,625,625,656
4861,559,559,501
4866,284,284,214
4871,41.5,41.5,10.9
4876,0,0,0
4881,0.533,0,0
4886,2.13,0,0
4891,4.67,0,0
4896,7.60,0,0
4901,9.60,0,0
4906,10.5,0,0
4911,10.7,0,0
4916,10.8,0,0
4921,11,0,0
4926,11.3,0,0
4931,11.3,0,0
4936,11.7,0,0
4941,11.7,0,0
4946,12.3,0,0
4951,12.4,0,0
4956,12.7,0,0
4961,12.8,0,0
4966,13.1,0,0
4971,13.5,0,0
4976,13.9,0,0
4981,14.1,0,0
4986,14.4,0,0
4991,14.7,0,0
4996,15.2,0,0
5001,15.6,0,0
5006,15.9,0,0
5011,16.4,0,0
5016,16.9,0,0
5021,17.3,0,0
5026,17.9,0,0
5031,18.4,0,0
5036,18.9,0,0
5041,19.6,0,0
5046,20.3,0,0
5051,20.9,0,0
5056,21.7,0,0
5061,22.5,0,0
5066,23.3,0,0
5071,24.3,0,0
5076,25.3,0,0
5081,26.5,0,0
5086,27.7,0,0
5091,29,0,0
5096,30.5,0,0
5101,32.1,0,0
5106,33.8,0,0
5111,35.8,0,0
5116,38.1,0,0
5121,40.8,0,0
5126,43.8,0,0
5131,47.2,0,0
5136,51.3,0,0
5141,56,0,0
5146,61.7,0,0
5151,69,0,0
5156,78.1,0,0
5161,90.3,0,0
5166,97.6,0,0
5171,88.6,0,0
5176,76.4,0,0
5181,69,0,0
5186,78.1,0,0
5191,70.6,0,0
5196,44.8,0,0
5201,15.3,0,0
5206,0,0,0
5211,0,0,0
5216,0,0,0
5221,0,0,0
5226,0,0,0
5231,0,0,0
5236,0,0,0
5241,0,0,0
5246,0,0,0
5261,1.10,1.10,
5266,1.22,1.22,
